pop,S\NP,Theme,,
prevail,S\NP,Theme,,
prosper,S\NP,Theme,,
pull,S\NP,Theme,,
quake,S\NP,Theme,,
rage,S\NP,Theme,,
recede,S\NP,Theme,,
remain,S\NP,Theme,,
repeat,S\NP,Theme,,
result,S\NP,Theme,,
retreat,S\NP,Theme,,
return,S\NP,Theme,,
revolve,S\NP,Theme,,
revolve,S\NP,Theme,,
ring,S\NP,Theme,,
rise,S\NP,Theme,,
rise,S\NP,Theme,,
rise,S\NP,Theme,,
rise,S\NP,Theme,,
roar,S\NP,Theme,,
roar,S\NP,Theme,,
rock,S\NP,Theme,,
roll,S\NP,Theme,,
roll,S\NP,Theme,,
roll,S\NP,Theme,,
run,S\NP,Theme,,
run,S\NP,Theme,,
scream,S\NP,Theme,,
scuttle,S\NP,Theme,,
shake,S\NP,Theme,,
shine,S\NP,Theme,,
sing,S\NP,Theme,,
slide,S\NP,Theme,,
slump,S\NP,Theme,,
snap,S\NP,Theme,,
soar,S\NP,Theme,,
sound,S\NP,Theme,,
sound,S\NP,Theme,,
spill,S\NP,Theme,,
spin,S\NP,Theme,,
spread,S\NP,Theme,,
stand,S\NP,Theme,,
start,S\NP,Theme,,
stay,S\NP,Theme,,
steal,S\NP,Theme,,
stem,S\NP,Theme,,
step,S\NP,Theme,,
stir,S\NP,Theme,,
stray,S\NP,Theme,,
strike,S\NP,Theme,,
stumble,S\NP,Theme,,
surge,S\NP,Theme,,
sway,S\NP,Theme,,
swing,S\NP,Theme,,
tear,S\NP,Theme,,
terminate,S\NP,Theme,,
tick,S\NP,Theme,,
turn,S\NP,Theme,,
turn,S\NP,Theme,,
undertake,S\NP,Theme,,
vary,S\NP,Theme,,
wait,S\NP,Theme,,
wave,S\NP,Theme,,
whisper,S\NP,Theme,,
withdraw,S\NP,Theme,,
blow,(S\NP)/VERB,it,Restrs,
clear,(S\NP)/VERB,it,Restrs,
hail,(S\NP)/VERB,it,Restrs,
pour,(S\NP)/VERB,it,Restrs,
precipitate,(S\NP)/VERB,it,Restrs,
rain,(S\NP)/VERB,it,Restrs,
roar,(S\NP)/VERB,it,Restrs,
spot,(S\NP)/VERB,it,Restrs,
storm,(S\NP)/VERB,it,Restrs,
nudge,(S\NP)/PREP,Agent,Restrs,
press,(S\NP)/PREP,Agent,Restrs,
push,(S\NP)/PREP,Agent,Restrs,
thrust,(S\NP)/PREP,Agent,Restrs,
feel,(S\NP)/PREP,Stimulus,like,
look,(S\NP)/PREP,Stimulus,like,
sound,(S\NP)/PREP,Stimulus,like,
taste,(S\NP)/PREP,Stimulus,like,
cut,(S\NP)/NP,Affector,Theme,
kill,(S\NP)/NP,Affector,Theme,
raise,(S\NP)/NP,Affector,Theme,
abate,(S\NP)/NP,Agent,Patient,
abduct,(S\NP)/NP,Agent,Theme,
abolish,(S\NP)/NP,Agent,Theme,
absorb,(S\NP)/NP,Agent,that_comp,
absorb,(S\NP)/NP,Agent,wh_comp,
abuse,(S\NP)/NP,Agent,Theme,
abuse,(S\NP)/NP,Agent,Attribute,
accelerate,(S\NP)/NP,Agent,Patient,
accept,(S\NP)/NP,Agent,Theme,
accept,(S\NP)/NP,Agent,how_extract,
accept,(S\NP)/NP,Agent,sentential,
accept,(S\NP)/NP,Agent,poss_ing,
accept,(S\NP)/NP,Agent,that_comp,
accept,(S\NP)/NP,Agent,what_extract,
accept,(S\NP)/NP,Agent,ac_ing,
accept,(S\NP)/NP,Agent,what_extract,
accept,(S\NP)/NP,Agent,what_inf,
accommodate,(S\NP)/NP,Agent,Patient,
accompany,(S\NP)/NP,Agent,Theme,
accomplish,(S\NP)/NP,Agent,Theme,
accumulate,(S\NP)/NP,Agent,Theme,
accumulate,(S\NP)/NP,Agent,Theme,
accuse,(S\NP)/NP,Agent,poss_ing,
achieve,(S\NP)/NP,Agent,Theme,
acknowledge,(S\NP)/NP,Agent,how_extract,
acknowledge,(S\NP)/NP,Agent,to_be,
acknowledge,(S\NP)/NP,Agent,np_ppart,
acknowledge,(S\NP)/NP,Agent,be_sc_ing,
acknowledge,(S\NP)/NP,Agent,sentential,
acknowledge,(S\NP)/NP,Agent,poss_ing,
acknowledge,(S\NP)/NP,Agent,that_comp,
acknowledge,(S\NP)/NP,Agent,to_be,
acknowledge,(S\NP)/NP,Agent,that_comp,
act,(S\NP)/NP,Agent,Predicate,
activate,(S\NP)/NP,Agent,Patient,
adapt,(S\NP)/NP,Agent,Patient,
add,(S\NP)/NP,Agent,plural,
add,(S\NP)/NP,Agent,Topic,
add,(S\NP)/NP,Agent,how_extract,
add,(S\NP)/NP,Agent,wh_inf,
add,(S\NP)/NP,Agent,what_inf,
add,(S\NP)/NP,Agent,what_extract,
add,(S\NP)/NP,Agent,plural,
address,(S\NP)/NP,Agent,Destination,
adjust,(S\NP)/NP,Agent,Patient,
admit,(S\NP)/NP,Agent,how_extract,
admit,(S\NP)/NP,Agent,to_be,
admit,(S\NP)/NP,Agent,np_ppart,
admit,(S\NP)/NP,Agent,be_sc_ing,
admit,(S\NP)/NP,Agent,sentential,
admit,(S\NP)/NP,Agent,poss_ing,
admit,(S\NP)/NP,Agent,that_comp,
admit,(S\NP)/NP,Agent,that_comp,
adopt,(S\NP)/NP,Agent,Theme,
adopt,(S\NP)/NP,Agent,Theme,
advance,(S\NP)/NP,Agent,Patient,
advance,(S\NP)/NP,Agent,Theme,
advance,(S\NP)/NP,Agent,ac_ing,
advance,(S\NP)/NP,Agent,poss_ing,
advise,(S\NP)/NP,Agent,that_comp,
advise,(S\NP)/NP,Agent,that_comp,
advise,(S\NP)/NP,Agent,that_comp,
advise,(S\NP)/NP,Agent,wh_inf,
advise,(S\NP)/NP,Agent,quotation,
affiliate,(S\NP)/NP,Agent,plural,
affirm,(S\NP)/NP,Agent,that_comp,
agree,(S\NP)/NP,Agent,what_inf,
agree,(S\NP)/NP,Agent,Goal,
agree,(S\NP)/NP,Agent,Goal,
aim,(S\NP)/NP,Agent,sc_to_inf,
alert,(S\NP)/NP,Agent,Recipient,
allege,(S\NP)/NP,Agent,Topic,
allege,(S\NP)/NP,Agent,how_extract,
allege,(S\NP)/NP,Agent,wh_inf,
allege,(S\NP)/NP,Agent,what_inf,
allege,(S\NP)/NP,Agent,what_extract,
alleviate,(S\NP)/NP,Agent,Patient,
ally,(S\NP)/NP,Agent,sc_to_inf,
alter,(S\NP)/NP,Agent,Patient,
alter,(S\NP)/NP,Agent,Patient,
amass,(S\NP)/NP,Agent,Theme,
analyse,(S\NP)/NP,Agent,Theme,
analyze,(S\NP)/NP,Agent,Theme,
anchor,(S\NP)/NP,Agent,Patient,
announce,(S\NP)/NP,Agent,that_comp,
announce,(S\NP)/NP,Agent,that_comp,
announce,(S\NP)/NP,Agent,Result,
announce,(S\NP)/NP,Agent,that_comp,
announce,(S\NP)/NP,Agent,Theme,
annul,(S\NP)/NP,Agent,Patient,
answer,(S\NP)/NP,Agent,Predicate,
anticipate,(S\NP)/NP,Agent,sentential,
apply,(S\NP)/NP,Agent,Theme,
apply,(S\NP)/NP,Agent,Theme,
appoint,(S\NP)/NP,Agent,Theme,
approach,(S\NP)/NP,Agent,Theme,
appropriate,(S\NP)/NP,Agent,Theme,
approve,(S\NP)/NP,Agent,Beneficiary,
approve,(S\NP)/NP,Agent,ac_ing,
approve,(S\NP)/NP,Agent,poss_ing,
argue,(S\NP)/NP,Agent,wh_extract,
argue,(S\NP)/NP,Agent,wh_ing,
argue,(S\NP)/NP,Agent,Topic,
argue,(S\NP)/NP,Agent,wh_comp,
argue,(S\NP)/NP,Agent,wheth_inf,
argue,(S\NP)/NP,Agent,Goal,
argue,(S\NP)/NP,Agent,Goal,
arm,(S\NP)/NP,Agent,Recipient,
arrange,(S\NP)/NP,Agent,Product,
articulate,(S\NP)/NP,Agent,that_comp,
articulate,(S\NP)/NP,Agent,that_comp,
ask,(S\NP)/NP,Agent,how_extract,
ask,(S\NP)/NP,Agent,wh_inf,
